from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17937709,6,2,"[0, 3, 1, 0]",4,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17937709,6,0,"[0, 3, 1, 0, 0]",5,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17937709,6,0,"[0, 3, 1, 0, 1]",5,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17938109,72,2,"[5, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17938109,72,0,"[5, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17938109,72,0,"[5, 0, 1]",3,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17938921,108,2,"[3, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17938921,108,0,"[3, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17938921,108,0,"[3, 0, 1]",3,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17939551,28,2,"[1, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17939551,28,0,"[1, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17939551,28,0,"[1, 0, 1]",3,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17940807,85,2,"[1, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17940807,85,0,"[1, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17940807,85,0,"[1, 0, 1]",3,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17941085,47,2,"[3, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17941085,47,0,"[3, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17941085,47,0,"[3, 0, 1]",3,transfer
0x0cd6f267b2086bea681e922e19d40512511be538,0x67fe41a94e779ccfa22cff02cc2957dc9c0e4286,17943465,23,2,"[0, 0]",2,exchange
0x0cd6f267b2086bea681e922e19d40512511be538,0x853d955acef822db058eb8505911ed77f175b99e,17943465,23,0,"[0, 0, 0]",3,transferFrom
0x0cd6f267b2086bea681e922e19d40512511be538,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,17943465,23,0,"[0, 0, 1]",3,transfer
